Jahr;Baujahr;Grundmiete;Grundmiete - Whg mit Bad und IWC;Betriebskosten - kalt;Betriebskosten - warm
1995;" bis 1918";2,5;3;0,7;1
1995;1919 - 1945;2,9;3;0,8;0,9
1995;1946 - 1969;2,5;2,5;0,9;1,1
1995;1970 - 1990;2,7;2,7;1;1
1995;ab 1991;7,6;7,6;1,4;1,1
1996;" bis 1918";3,6;4,1;0,8;0,9
1996;1919 - 1945;3,5;3,6;0,9;0,9
1996;1946 - 1969;3,5;3,5;1;1
1996;1970 - 1990;3,5;3,5;1,1;1
1996;ab 1991;7,5;7,5;1,3;0,9
1998;" bis 1918";4,3;4,8;1;0,8
1998;1919 - 1945;4,4;4,5;1;0,9
1998;1946 - 1969;4,1;4,2;1;0,9
1998;1970 - 1990;4;4;1,1;0,9
1998;ab 1991;6,7;6,7;1,3;0,9
2002;" bis 1918";4,8;4,9;1,4;1
2002;1919 - 1945;4,8;4,8;1,6;1
2002;1946 - 1969;4,4;4,4;1,3;0,9
2002;1970 - 1990;4;4;1,4;1
2002;ab 1991;6,1;6,1;1,5;0,9
2005;" bis 1918";5;5,1;1,2;1,1
2005;1919 - 1945;5;5;1,2;1,1
2005;1946 - 1969;4,8;4,8;1,2;0,9
2005;1970 - 1990;4,4;4,4;1,2;1
2005;ab 1991;6;6;1,5;1
2007;" bis 1918";5,1;5,3;1,1;1,1
2007;1919 - 1945;5;5;1,1;1,1
2007;1946 - 1969;4,9;5;1,1;1
2007;1970 - 1990;4,5;4,5;1,1;1
2007;ab 1991;5,8;5,8;1,3;1,1
2010;" bis 1918";5,3;5,3;1,1;1,2
2010;1919 - 1945;5,3;5,2;1,1;1,1
2010;1946 - 1969;5,2;5,2;1;1
2010;1970 - 1990;4,7;4,7;1,2;1
2010;ab 1991;6;6;1,2;1,1
2012;" bis 1918";5,6;5,6;1,2;1,2
2012;1919 - 1945;5,6;5,6;1,1;1,2
2012;1946 - 1969;5,4;5,4;1,1;1
2012;1970 - 1990;4,9;4,9;1,2;1,1
2012;ab 1991;6,1;6,1;1,3;1,1
2014;" bis 1918";5,8;6;1,1;1,3
2014;1919 - 1945;5,8;6;1,1;1,2
2014;1946 - 1969;5,5;5,6;1,1;1,1
2014;1970 - 1990;5;5;1,2;1,2
2014;ab 1991;6,3;6,2;1,4;1,1
2016;" bis 1918";6,1;6,1;1,1;1,2
2016;1919 - 1945;5,9;6;1,1;1,1
2016;1946 - 1969;6;6;1,2;1,1
2016;1970 - 1990;5,2;5,2;1,2;1,1
2016;ab 1991;6,8;6,8;1,3;1,1
2018;" bis 1918";6,7;6,7;1,1;1,2
2018;1919 - 1945;6,3;6,4;1,1;1,1
2018;1946 - 1969;6,4;6,2;1,2;1,1
2018;1970 - 1990;5,5;5,4;1,3;1,2
2018;ab 1991;7,2;7,2;1,4;1,2
2020;" bis 1918";6,9;6,9;1,2;1,1
2020;1919 - 1945;6,6;6,4;1,2;1,1
2020;1946 - 1969;6,5;6,6;1,3;1,1
2020;1970 - 1990;5,9;5,9;1,4;1,1
2020;ab 1991;7,8;7,9;1,4;1,1
2022;" bis 1918";7,4;0;1,4;1,2
2022;1919 - 1945;6,9;0;1,3;1,1
2022;1946 - 1969;6,7;0;1,4;1,1
2022;1970 - 1990;6,1;0;1,4;1,1
2022;ab 1991;8,2;0;1,5;1,2
2024;" bis 1918";7,8;0;1,5;1,5
2024;1919 - 1945;7,4;0;1,4;1,6
2024;1946 - 1969;7,1;0;1,5;1,7
2024;1970 - 1990;6,5;0;1,7;1,7
2024;ab 1991;9,1;0;1,7;1,4
